state,date,res_dex,num_devices
ME,2020-02-28,49.831501,73352
ME,2020-02-29,44.423199,72811
ME,2020-03-01,27.8561,71338
ME,2020-03-02,39.046501,72712
ME,2020-03-03,52.182201,72852
ME,2020-03-04,44.666302,71972
ME,2020-03-05,47.562,71167
ME,2020-03-06,48.34,70469
ME,2020-03-07,38.369701,69148
ME,2020-03-08,30.7351,67240
ME,2020-03-09,45.586102,69918
ME,2020-03-10,44.4972,69821
ME,2020-03-11,40.389,64404
ME,2020-03-12,42.626999,68667
ME,2020-03-13,41.476601,72155
ME,2020-03-14,29.2395,67017
ME,2020-03-15,29.2355,68553
ME,2020-03-16,35.915298,69214
ME,2020-03-17,29.8276,67966
ME,2020-03-18,31.231199,67091
ME,2020-03-19,28.069099,67991
ME,2020-03-20,28.235901,68911
ME,2020-03-21,23.407,67494
ME,2020-03-22,21.8246,65967
ME,2020-03-23,25.3321,68613
ME,2020-03-24,24.916401,67363
ME,2020-03-25,28.215599,67364
ME,2020-03-26,26.893,67554
ME,2020-03-27,30.2675,68446
ME,2020-03-28,27.7055,68133
ME,2020-03-29,22.4704,67396
ME,2020-03-30,25.572599,68407
ME,2020-03-31,24.9023,68466
ME,2020-04-01,20.945499,64554
ME,2020-04-02,15.5115,62053
ME,2020-04-03,18.220501,63665
ME,2020-04-04,18.521999,62799
ME,2020-04-05,15.7331,62169
ME,2020-04-06,16.425301,63161
ME,2020-04-07,16.021299,63938
ME,2020-04-08,16.961,63083
ME,2020-04-09,13.984,64017
ME,2020-04-10,18.598301,61382
ME,2020-04-11,18.937,61142
ME,2020-04-12,9.0029001,59176
ME,2020-04-13,12.731,60738
ME,2020-04-14,15.8444,55973
ME,2020-04-15,14.0052,53294
ME,2020-04-16,13.3722,53338
ME,2020-04-17,16.0714,53833
ME,2020-04-18,15.1453,55116
ME,2020-04-19,13.6611,59163
ME,2020-04-20,15.5653,60016
ME,2020-04-21,15.7995,60037
ME,2020-04-22,14.8554,57858
ME,2020-04-23,16.8613,57920
ME,2020-04-24,18.306101,58855
ME,2020-04-25,20.065201,61186
ME,2020-04-26,14.4363,60475
ME,2020-04-27,14.5979,57220
ME,2020-04-28,16.824699,59023
ME,2020-04-29,17.520901,58685
ME,2020-04-30,12.8925,57479
ME,2020-05-01,13.948,57171
ME,2020-05-02,18.837999,60403
ME,2020-05-03,14.8318,59441
ME,2020-05-04,18.691299,59322
ME,2020-05-05,22.7598,59469
ME,2020-05-06,20.677799,60259
ME,2020-05-07,22.248301,60173
ME,2020-05-08,24.769199,58898
ME,2020-05-09,22.1453,60309
ME,2020-05-10,20.6341,61089
ME,2020-05-11,18.791201,60249
ME,2020-05-12,20.033501,59904
ME,2020-05-13,23.2589,60279
ME,2020-05-14,24.9657,60473
ME,2020-05-15,24.4555,61195
ME,2020-05-16,28.310801,61952
ME,2020-05-17,21.1099,60214
ME,2020-05-18,24.0091,61847
ME,2020-05-19,23.827999,59797
ME,2020-05-20,23.9902,59557
ME,2020-05-21,27.6154,60330
ME,2020-05-22,31.208099,61478
ME,2020-05-23,28.416,62851
ME,2020-05-24,22.6982,61938
ME,2020-05-25,17.4006,60485
ME,2020-05-26,27.915199,63942
ME,2020-05-27,26.278799,60812
ME,2020-05-28,23.3179,59133
ME,2020-05-29,24.9186,66072
ME,2020-05-30,24.264799,62266
ME,2020-05-31,22.462999,63384
ME,2020-06-01,24.5229,61703
ME,2020-06-02,24.755301,61117
ME,2020-06-03,29.9189,60841
MD,2020-01-20,52.6721,343219
MD,2020-01-21,82.507202,354293
MD,2020-01-22,84.916397,353890
MD,2020-01-23,88.673798,356878
MD,2020-01-24,99.654404,357526
MD,2020-01-25,59.129299,348028
MD,2020-01-26,47.6129,345460
MD,2020-01-27,90.116402,566125
MD,2020-01-28,101.4054,571382
MD,2020-01-29,99.5942,572017
MD,2020-01-30,99.742996,566051
MD,2020-01-31,114.6355,574429
MD,2020-02-01,88.825302,547952
MD,2020-02-02,62.297298,539614
MD,2020-02-03,79.942101,368667
MD,2020-02-04,83.759499,375569
MD,2020-02-05,83.9282,374592
MD,2020-02-06,82.149498,371477
MD,2020-02-07,91.574501,374875
MD,2020-02-08,72.0037,360405
MD,2020-02-09,59.034401,358502
MD,2020-02-10,84.019997,375516
MD,2020-02-11,90.525299,373856
MD,2020-02-12,87.474899,375500
MD,2020-02-13,81.800201,352989
MD,2020-02-14,99.780899,353638
MD,2020-02-15,74.1605,348505
MD,2020-02-16,61.564701,343263
MD,2020-02-17,67.213799,353318
MD,2020-02-18,91.296997,362046
MD,2020-02-19,89.337196,360728
MD,2020-02-20,90.9786,362668
MD,2020-02-21,98.967796,359315
MD,2020-02-22,74.636597,351894
MD,2020-02-23,56.8997,344895
MD,2020-02-24,93.109497,361265
MD,2020-02-25,92.9907,364218
MD,2020-02-26,93.4412,362442
MD,2020-02-27,94.605103,368065
MD,2020-02-28,106.5264,360512
MD,2020-02-29,79.878197,352316
MD,2020-03-01,57.624199,350998
MD,2020-03-02,88.718597,364916
MD,2020-03-03,90.484299,364953
MD,2020-03-04,94.235901,363089
MD,2020-03-05,94.925201,359258
MD,2020-03-06,95.234299,357633
MD,2020-03-07,75.054001,347444
MD,2020-03-08,56.137699,340882
MD,2020-03-09,90.810402,354796
MD,2020-03-10,84.514503,352149
MD,2020-03-11,77.678902,321088
MD,2020-03-12,77.316002,339083
MD,2020-03-13,74.781303,353334
MD,2020-03-14,44.607899,326840
MD,2020-03-15,38.284801,332019
MD,2020-03-16,64.134903,340442
MD,2020-03-17,55.5093,338135
MD,2020-03-18,54.622601,335270
MD,2020-03-19,48.056999,337696
MD,2020-03-20,46.777199,344310
MD,2020-03-21,32.276901,326849
